honest_hashrate_reduction_stress_pct,honest_hashrate_mhps,configured_owned_hashrate_mhps,visible_rental_hashrate_mhps,rental_pct_pre_existing_honest_hashrate,rental_pct_combined_honest_plus_rental_hashrate,rental_plus_owned_hashrate_mhps,additional_hash_required_to_exceed_honest_mhps,visible_rental_capacity_alone_sufficient,rental_plus_owned_capacity_sufficient,analytical_horizon_blocks,greedy_selected_rigs,greedy_selected_rental_hashrate_mhps,visible_depth_sufficient_for_threshold,theoretical_prorated_threshold_cost_btc,actual_minimum_lease_threshold_cost_btc,actual_minimum_lease_threshold_cost_usd,evidence_class
10,17.736515,5.000000,10.346300,58.3333,36.8421,15.346300,2.390215,false,false,24,22,10.346300,false,,,,observed rental asks plus speculative honest-hash reduction and owned-hash stress inputs
10,17.736515,5.000000,10.346300,58.3333,36.8421,15.346300,2.390215,false,false,144,22,10.346300,false,,,,observed rental asks plus speculative honest-hash reduction and owned-hash stress inputs
10,17.736515,10.000000,10.346300,58.3333,36.8421,20.346300,0.000000,false,true,6,19,8.283800,true,0.000001148898,0.000081283902,5.279398,observed rental asks plus speculative honest-hash reduction and owned-hash stress inputs
10,17.736515,10.000000,10.346300,58.3333,36.8421,20.346300,0.000000,false,true,24,19,8.283800,true,0.000004595593,0.000081283902,5.279398,observed rental asks plus speculative honest-hash reduction and owned-hash stress inputs
10,17.736515,10.000000,10.346300,58.3333,36.8421,20.346300,0.000000,false,true,144,19,8.283800,true,0.000027573561,0.000081283902,5.279398,observed rental asks plus speculative honest-hash reduction and owned-hash stress inputs
25,14.780429,0.000000,10.346300,70.0000,41.1765,10.346300,4.434129,false,false,6,22,10.346300,false,,,,observed rental asks plus speculative honest-hash reduction and owned-hash stress inputs
25,14.780429,0.000000,10.346300,70.0000,41.1765,10.346300,4.434129,false,false,24,22,10.346300,false,,,,observed rental asks plus speculative honest-hash reduction and owned-hash stress inputs
25,14.780429,0.000000,10.346300,70.0000,41.1765,10.346300,4.434129,false,false,144,22,10.346300,false,,,,observed rental asks plus speculative honest-hash reduction and owned-hash stress inputs
25,14.780429,5.000000,10.346300,70.0000,41.1765,15.346300,0.000000,false,true,6,22,10.346300,true,0.000001470505,0.000090932105,5.906049,observed rental asks plus speculative honest-hash reduction and owned-hash stress inputs
25,14.780429,5.000000,10.346300,70.0000,41.1765,15.346300,0.000000,false,true,24,22,10.346300,true,0.000005882021,0.000090932105,5.906049,observed rental asks plus speculative honest-hash reduction and owned-hash stress inputs
25,14.780429,5.000000,10.346300,70.0000,41.1765,15.346300,0.000000,false,true,144,22,10.346300,true,0.000035292123,0.000090932105,5.906049,observed rental asks plus speculative honest-hash reduction and owned-hash stress inputs
25,14.780429,10.000000,10.346300,70.0000,41.1765,20.346300,0.000000,false,true,6,13,4.815050,true,0.000000624671,0.000028060816,1.822553,observed rental asks plus speculative honest-hash reduction and owned-hash stress inputs
25,14.780429,10.000000,10.346300,70.0000,41.1765,20.346300,0.000000,false,true,24,13,4.815050,true,0.000002498682,0.000028060816,1.822553,observed rental asks plus speculative honest-hash reduction and owned-hash stress inputs
25,14.780429,10.000000,10.346300,70.0000,41.1765,20.346300,0.000000,false,true,144,13,4.815050,true,0.000014992092,0.000028060816,1.822553,observed rental asks plus speculative honest-hash reduction and owned-hash stress inputs
50,9.853619,0.000000,10.346300,105.0000,51.2195,10.346300,0.000000,true,true,6,22,10.346300,true,0.000001470505,0.000090932105,5.906049,observed rental asks plus speculative honest-hash reduction and owned-hash stress inputs
50,9.853619,0.000000,10.346300,105.0000,51.2195,10.346300,0.000000,true,true,24,22,10.346300,true,0.000005882021,0.000090932105,5.906049,observed rental asks plus speculative honest-hash reduction and owned-hash stress inputs
50,9.853619,0.000000,10.346300,105.0000,51.2195,10.346300,0.000000,true,true,144,22,10.346300,true,0.000035292123,0.000090932105,5.906049,observed rental asks plus speculative honest-hash reduction and owned-hash stress inputs
50,9.853619,5.000000,10.346300,105.0000,51.2195,15.346300,0.000000,true,true,6,14,5.533800,true,0.000000732273,0.000031288902,2.032217,observed rental asks plus speculative honest-hash reduction and owned-hash stress inputs
50,9.853619,5.000000,10.346300,105.0000,51.2195,15.346300,0.000000,true,true,24,14,5.533800,true,0.000002929093,0.000031288902,2.032217,observed rental asks plus speculative honest-hash reduction and owned-hash stress inputs
50,9.853619,5.000000,10.346300,105.0000,51.2195,15.346300,0.000000,true,true,144,14,5.533800,true,0.000017574561,0.000031288902,2.032217,observed rental asks plus speculative honest-hash reduction and owned-hash stress inputs
50,9.853619,10.000000,10.346300,105.0000,51.2195,20.346300,0.000000,true,true,6,0,0.000000,true,0.000000000000,0.000000000000,0.000000,observed rental asks plus speculative honest-hash reduction and owned-hash stress inputs
50,9.853619,10.000000,10.346300,105.0000,51.2195,20.346300,0.000000,true,true,24,0,0.000000,true,0.000000000000,0.000000000000,0.000000,observed rental asks plus speculative honest-hash reduction and owned-hash stress inputs
50,9.853619,10.000000,10.346300,105.0000,51.2195,20.346300,0.000000,true,true,144,0,0.000000,true,0.000000000000,0.000000000000,0.000000,observed rental asks plus speculative honest-hash reduction and owned-hash stress inputs
